z_class1,z_class2,z_class3
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,1.0
0.0,1.0,0.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
1.0,0.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,0.0,1.0
0.0,1.0,0.0
1.0,0.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
1.0,0.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
0.0,0.0,1.0
1.0,0.0,0.0
0.0,1.0,0.0
